County,FIPS,Normal
Anderson,48001,46.38
Andrews,48003,15.15
Angelina,48005,46.62
Aransas,48007,35.96
Archer,48009,29.78
Armstrong,48011,22.39
Atascosa,48013,29
Austin,48015,40.68
Bailey,48017,17.37
Bandera,48019,35.78
Bastrop,48021,38.04
Baylor,48023,27.79
Bee,48025,33.48
Bell,48027,35.81
Bexar,48029,32.92
Blanco,48031,34.75
Borden,48033,19.68
Bosque,48035,35.07
Bowie,48037,51.24
Brazoria,48039,57.24
Brazos,48041,39.67
Brewster,48043,17.19
Briscoe,48045,19.17
Brooks,48047,22.34
Brown,48049,25.42
Burleson,48051,28.32
Burnet,48053,38.5
Caldwell,48055,32.43
Calhoun,48057,36.86
Callahan,48059,34.78
Cameron,48061,27.55
Camp,48063,45.1
Carson,48065,22.21
Cass,48067,48.2
Castro,48069,19.71
Chambers,48071,54.08
Cherokee,48073,48.5
Childress,48075,22.65
Clay,48077,31.66
Cochran,48079,18.34
Coke,48081,23
Coleman,48083,28.7
Collin,48085,41.01
Collingsworth,48087,22.8
Colorado,48089,44.72
Comal,48091,35.74
Comanche,48093,31.12
Concho,48095,25.5
Cooke,48097,36.9
Coryell,48099,33.43
Cottle,48101,24.11
Crane,48103,15.38
Crockett,48105,18.95
Crosby,48107,22.95
Culberson,48109,11.98
Dallam,48111,18.57
Dallas,48113,37.05
Dawson,48115,19.07
Deaf Smith,48117,18.65
Delta,48119,45
Denton,48121,37.79
DeWitt,48123,36.08
Dickens,48125,18.68
Dimmit,48127,20.21
Donley,48129,23.89
Duval,48131,25.4
Eastland,48133,27.53
Ector,48135,13.29
Edwards,48137,24.76
El Paso,48141,9.43
Ellis,48139,38.81
Erath,48143,29.71
Falls,48145,37.99
Fannin,48147,44.56
Fayette,48149,40.31
Fisher,48151,24.22
Floyd,48153,20.95
Foard,48155,26.4
Fort Bend,48157,49.34
Franklin,48159,47.65
Freestone,48161,42.31
Frio,48163,25.73
Gaines,48165,18.2
Galveston,48167,43.84
Garza,48169,21.29
Gillespie,48171,31.65
Glasscock,48173,17.32
Goliad,48175,38.58
Gonzales,48177,36.02
Gray,48179,22.74
Grayson,48181,42.04
Gregg,48183,49.06
Grimes,48185,44.7
Guadalupe,48187,34.5
Hale,48189,19.9
Hall,48191,22.51
Hamilton,48193,28.59
Hansford,48195,20.3
Hardeman,48197,26.76
Hardin,48199,56.5
Harris,48201,53.96
Harrison,48203,51.22
Hartley,48205,17.2
Haskell,48207,24.93
Hays,48209,37.19
Hemphill,48211,21.68
Henderson,48213,42.03
Hidalgo,48215,22.61
Hill,48217,37.15
Hockley,48219,19.58
Hood,48221,33.1
Hopkins,48223,47.69
Houston,48225,45.48
Howard,48227,20.12
Hudspeth,48229,11.93
Hunt,48231,43.7
Hutchinson,48233,21.98
Irion,48235,19.9
Jack,48237,31.44
Jackson,48239,42.1
Jasper,48241,60.57
Jeff Davis,48243,15.86
Jefferson,48245,59.89
Jim Hogg,48247,23.75
Jim Wells,48249,27.52
Johnson,48251,36.25
Jones,48253,26
Karnes,48255,28.4
Kaufman,48257,38.9
Kendall,48259,37.36
Kenedy,48261,27.9
Kent,48263,22.94
Kerr,48265,32.6
Kimble,48267,23.24
King,48269,25
Kinney,48271,22.79
Kleberg,48273,29.03
Knox,48275,26.36
La Salle,48283,22.56
Lamar,48277,47.82
Lamb,48279,18.69
Lampasas,48281,31.08
Lavaca,48285,42.23
Lee,48287,36.02
Leon,48289,43.08
Liberty,48291,60.52
Limestone,48293,41.4
Lipscomb,48295,22.57
Live Oak,48297,22
Llano,48299,27.33
Loving,48301,9.1
Lubbock,48303,18.69
Lynn,48305,20.48
Madison,48313,44
Marion,48315,49.26
Martin,48317,18.2
Mason,48319,27.95
Matagorda,48321,48.03
Maverick,48323,21.48
McCulloch,48307,27.63
McLennan,48309,33.34
McMullen,48311,23.87
Medina,48325,26.3
Menard,48327,24.9
Midland,48329,14.8
Milam,48331,35.52
Mills,48333,28.78
Mitchell,48335,19.43
Montague,48337,33.72
Montgomery,48339,49.32
Moore,48341,17.75
Morris,48343,48.76
Motley,48345,22.9
Nacogdoches,48347,48.4
Navarro,48349,39.48
Newton,48351,54.9
Nolan,48353,23.54
Nueces,48355,32.26
Ochiltree,48357,20.88
Oldham,48359,18.18
Orange,48361,59
Palo Pinto,48363,31.79
Panola,48365,51.51
Parker,48367,34.7
Parmer,48369,18.38
Pecos,48371,14.06
Polk,48373,51.85
Potter,48375,19.71
Presidio,48377,15.79
Rains,48379,43.5
Randall,48381,19.19
Reagan,48383,18.79
Real,48385,27.99
Red River,48387,47.83
Reeves,48389,11.61
Refugio,48391,40.1
Roberts,48393,23.3
Robertson,48395,39.03
Rockwall,48397,39.4
Runnels,48399,23.76
Rusk,48401,48.22
Sabine,48403,54.4
San Augustine,48405,51.1
San Jacinto,48407,51.77
San Patricio,48409,35.54
San Saba,48411,27.72
Schleicher,48413,19
Scurry,48415,22.51
Shackelford,48417,28.45
Shelby,48419,53.01
Sherman,48421,17.89
Smith,48423,45.4
Somervell,48425,34.82
Starr,48427,21.61
Stephens,48429,27.04
Sterling,48431,19.4
Stonewall,48433,23.24
Sutton,48435,22.4
Swisher,48437,20.71
Tarrant,48439,34.01
Taylor,48441,23.78
Terrell,48443,14.94
Terry,48445,18.89
Throckmorton,48447,26.6
Titus,48449,48.57
Tom Green,48451,20.91
Travis,48453,33.65
Trinity,48455,48.1
Tyler,48457,54.79
Upshur,48459,47.08
Upton,48461,14.45
Uvalde,48463,23.3
Val Verde,48465,18.8
Van Zandt,48467,43.68
Victoria,48469,40.1
Walker,48471,48.51
Waller,48473,38.2
Ward,48475,13.23
Washington,48477,44.15
