PlantID,Species,Block,Inoculum_type,Root_mass_g,Shoot_Height_cm,Shoot_mass_g,LICOR_E,LICOR_A,LICOR_water_use_eff,iWUE,LICOR_Ci,LICOR_gsw_stomata,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,root_Depth.mm,root_Maximum.Width.mm,root_Width-to-Depth.Ratio,root_Network.Area.mm2,root_Convex.Area.mm2,root_Solidity,Lower.Root.Area.mm2,root_Average.Diameter.mm,root_Median.Diameter.mm,root_Maximum.Diameter.mm,root_Perimeter.mm,root_Volume.mm3,root_Surface.Area.mm2,root_Holes,root_Average.Hole.Size.mm2,root_Computation.Time.s,Average.Root.Orientation.deg,root_Shallow.Angle.Frequency,root_Medium.Angle.Frequency,root_Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,root_Projected.Area.Diameter.Range.1.mm2,root_Projected.Area.Diameter.Range.2.mm2,Root_Projected.Area.Diameter.Range.3.mm2,Root_Surface.Area.Diameter.Range.1.mm2,root_Surface.Area.Diameter.Range.2.mm2,root_Surface.Area.Diameter.Range.3.mm2,Rott_Volume.Diameter.Range.1.mm3,root_Volume.Diameter.Range.2.mm3,root_Volume.Diameter.Range.3.mm3,LAT.Max.Diameter,LAT.Min.Diameter,LAT.Total.Area,LAT.Total.Perimeter,LAT.Cortex.Max.Diameter,LAT.Cortex.Min.Diameter,LAT.Cortex.Area,LAT.Cortex.Perimeter,LAT.Stele.Max.Diameter,LAT.Stele.Min.Diameter,LAT.Stele.Area,LAT.Stele.Perimeter,LAT.Number.of.Aerenchyma,LAT.Total.Area.of.Aerencyhma,LAT.Average.area.of.Aerenchyma,LAT.Number.of.Metaxylem,LAT.Total.Area.of.Metaxylem,LAT.Average.area.of.metaxylem,LAT.Cortical.Cell.Layers,Li,B,Na,Mg,P,S,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Pb
193,gamagrass,g1,adapted_comm,0.2,60,0.63,0.000485,-0.30897,-637.0515464,-30.4704142,417.5242,0.01014,15,62,12927,13013.08543,207.094667,165.227,0.797833,3571.401459,23156.45996,0.154229,2031.176941,0.726311,0.30527,21.533481,13814.76214,39984.08761,32702.23608,6033,0.667574,3.446,45.009515,0.318378,0.362011,0.319611,12037.07862,635.534578,340.472232,5023.243084,1953.482529,3428.062077,15792.68537,6139.976072,10769.57464,2803.151684,5048.232998,32132.70293,1328.6165,1087.2789,1018920.871,4282.9478,1286.0271,1038.971,938186.773,4130.3061,478.7981,413.3408,154179.7009,1431.1665,13,202046.0098,15542.0007,9,13627.6229,1514.1803,13,5.517,-27.312,36.549,1114.858,598.257,996.019,20243.974,1346.316,0.154,0.05,32.371,58.208,0.033,0.069,0.916,8.268,1.406,0.788,27.546,29.99,14.348,0.034,0.085
194,gamagrass,g2,adapted_comm,0.15,55,0.51,0.000386,0.000807,2.090673575,0.097006852,371.1818,0.008319,10,53,9747,9050.321437,190.203667,151.384,0.795905,2565.140031,19033.68236,0.134768,1172.787977,0.70589,0.34909,13.494975,9180.073699,16959.888,21936.9304,3162,0.783461,2.599,43.952016,0.319661,0.384192,0.296147,8372.67244,460.795703,216.853294,3878.81711,1421.070104,1679.877833,12194.33071,4465.107828,5277.491859,2254.637975,3692.989888,11012.26014,1270.5828,1190.8333,1152368.873,3959.9739,1216.2376,1146.7976,1061499.104,3764.5897,514.4402,471.8072,187241.6155,1542.5494,12,470352.6613,39196.0551,8,11928.5609,1491.0701,12,4.245,22.878,8.733,823.917,776.03,802.933,17288.273,1217.695,0.068,0.059,22.685,49.282,0.042,0.151,0.702,11.182,1.434,2.452,27.179,31.759,11.797,0.057,0.272
195,gamagrass,g3,adapted_comm,0.23,55,0.69,0.001671,5.642796,3376.897666,151.1233831,135.183,0.037339,20,60,13242,12141.77281,214.249,161.544,0.754001,3301.518487,25698.29179,0.128472,1930.277501,0.542776,0.338667,10.644119,14219.84951,9557.491518,22006.89479,3342,1.412358,3.261,43.881573,0.338973,0.354934,0.306092,11601.1253,451.685136,88.962376,5053.476109,1341.131224,606.6044,15885.8898,4215.301068,1905.703927,2811.136146,3340.075202,3406.280169,1559.0987,1320.5426,1639380.291,4649.0989,1501.58,1270.4928,1530946.308,4484.055,601.437,519.1749,243429.4454,1765.9057,16,626329.4114,39145.5882,11,25307.0559,2300.6414,13,7.952,22.268,-2.214,1098.278,768.884,857.827,21488.206,1324.26,-0.024,0.019,24.408,53.988,0.042,0.092,0.801,13.861,2.047,1.536,36.007,39.531,22.234,0.041,0.812
196,gamagrass,g4,adapted_comm,0.16,70,0.68,0.000349,0.478108,1369.936963,63.79877235,272.5549,0.007494,10,59,11282,10952.36677,233.976333,153.754667,0.657138,3316.226342,25483.99563,0.13013,1928.471053,0.731711,0.35921,12.109997,10954.97607,18346.80316,27017.41776,4160,0.602956,3.253,45.44298,0.312149,0.363771,0.32408,10052.50115,646.211552,253.654064,4848.597238,1978.586271,1768.010951,15243.2511,6217.611639,5556.555017,3021.19979,5119.249688,10206.35369,1913.9242,1272.8483,1722396.753,5516.7572,1863.1688,1227.9714,1567882.416,5583.144,709.1943,522.2982,286876.6218,1953.8965,15,388027.195,25868.4797,12,45462.3859,3788.5322,15,5.357,14.461,32.862,896.55,888.39,878.381,18608.309,1699.643,0.307,0.031,28.218,44.911,0.058,0.072,0.527,12.177,3.29,1.658,33.302,40.052,15.674,0.036,-0.04
197,gamagrass,g5,adapted_comm,0.25,63,0.76,0.001154,3.625552,3141.72617,146.7122046,142.5207,0.024712,19,83,17982,16603.55907,234.992333,145.457333,0.618988,4818.843409,28874.09727,0.166892,1870.702352,0.668191,0.35921,17.805181,16035.21904,27759.52842,37504.98487,7967,0.588218,3.92,44.262878,0.32292,0.367947,0.309133,15636.55531,682.603051,284.400703,7465.956031,2047.789054,2417.248921,23475.55303,6435.420386,7594.011453,4519.125584,5164.245596,18076.15723,1492.2327,1163.3963,1380834.464,4344.2211,1437.3896,1122.6675,1282812.55,4157.0156,601.6767,480.53,224865.0215,1705.9525,20,475852.889,23792.6444,11,15097.8938,1372.5358,15,3.81,16.191,36.019,702.797,756.251,703.03,17444.395,916.27,0.118,0.001,27.194,33.494,0.026,0.045,2.35,9.451,1.922,1.046,28.854,22.131,11.23,0.028,-0.066
198,gamagrass,g6,adapted_comm,0.1,60,0.48,0.000947,2.572382,2716.348469,125.5004147,176.1534,0.020497,12,49,7555,6653.894496,142.24,149.775333,1.052976,1846.229282,17074.06263,0.108131,580.887727,0.603674,0.35921,9.2906,7044.557962,6095.275819,13532.12569,2259,1.78811,1.869,44.658297,0.308597,0.387493,0.303909,6273.326189,318.604716,61.96359,2978.033369,925.879836,400.650858,9363.542459,2909.901432,1258.681794,1757.795998,2252.857589,2084.622232,1460.1672,1130.212,1183108.675,4242.25,1420.8514,1081.2707,1086060.162,4077.0539,482.6689,434.7936,162162.8885,1440.4754,18,343999.0281,19111.0571,10,16378.1989,1637.8199,14,2.843,28.293,5.103,845.323,616.717,776.127,16592.05,1281.148,0.465,-0.01,25.777,36.476,0.05,0.077,0.53,8.868,1.758,1.953,27.687,30.506,15.066,0.042,0.021
199,gamagrass,g1,adapted_comm,0.21,59,0.53,0.000247,-0.04394,-177.8947368,-8.523763337,383.4977,0.005155,21,67,15611,14227.66872,194.521667,166.624,0.856583,4039.72848,24689.15672,0.163624,1557.817673,0.596145,0.338667,13.564118,15870.73548,19060.62762,28628.68757,5137,1.252141,3.383,44.78186,0.321963,0.359527,0.318509,13483.40365,488.093742,256.17133,5670.031462,1489.55505,1949.248156,17824.72457,4680.219306,6123.743687,2887.25358,3841.130857,12332.24318,1800.0972,1536.0425,2102520.259,5494.7046,1746.3782,1478.2795,1966168.229,5356.2082,661.8354,603.6077,305595.4218,1975.6213,15,719945.5971,47996.3731,12,25039.902,2086.6585,15,3.246,21.893,13.479,952.105,913.581,1005.866,16602.75,1365.821,-0.025,0.026,25.133,38.527,0.041,0.101,0.599,53.113,2.229,2.613,27.515,30.485,16.735,0.05,0.069
200,gamagrass,g2,adapted_comm,0.24,65,0.72,0.001147,3.8833,3385.614647,158.3856758,124.3585,0.024518,25,68,18966,16228.50448,212.725,166.327667,0.781891,4840.212542,27210.0092,0.177884,3465.659735,0.734922,0.338667,23.134924,16709.86067,51019.64565,41798.95761,6650,1.200545,3.89,44.296179,0.323241,0.370556,0.306203,15033.5758,704.066937,490.86175,6412.870256,2220.460187,4665.350855,20164.31895,6976.808556,14657.83011,3419.053832,5883.223424,41717.3684,1034.1913,776.0016,547833.7675,3174.6888,1010.3859,757.8908,521472.8865,3093.3617,339.6736,312.0538,81684.3893,1021.7806,17,146643.4646,8626.0862,12,4082.1858,340.1821,13,9.533,-12.021,60.142,881.5,699.512,361.472,19830.939,1237.32,-0.077,0.006,21.488,38.365,0.032,0.061,0.556,8.158,1.346,0.922,30.274,35.676,13.969,0.009,-0.11
201,gamagrass,g3,adapted_comm,0.25,77,0.7,0.000287,-0.04742,-165.2264808,-7.902016331,382.6387,0.006001,19,58,12700,11280.9617,177.969333,161.247667,0.906042,3602.740106,20698.68083,0.174057,1964.806106,0.816552,0.34909,26.234373,11757.59507,53459.49715,32534.79032,4998,0.823885,2.954,43.803703,0.325961,0.377446,0.296593,10386.72386,537.046775,357.191067,4532.205816,1695.115175,4124.243741,14251.1633,5326.227728,12957.39929,2407.787745,4491.211804,46560.4976,1750.8818,1365.053,1683607.668,5186.3188,1705.5103,1315.1306,1559934.356,4982.5336,647.0446,554.8565,274436.8632,1877.5621,19,516552.2626,27186.9612,15,23591.3546,1572.757,16,3.686,-7.891,13.248,682.078,816.401,476.94,24305.343,918.236,-0.084,0.004,32.039,18.779,0.017,0.054,0.499,6.628,1.709,0.637,39.541,27.814,9.3,-0.012,-0.832
202,gamagrass,g4,adapted_comm,0.22,67,0.64,0.000249,-0.22195,-891.3654618,-42.6909021,436.4316,0.005199,15,66,13797,11899.98638,220.98,150.833667,0.682567,3415.73152,23150.04958,0.147547,2313.488205,0.684078,0.34909,15.75369,12030.99612,22758.06032,27809.68785,4639,0.713144,3.309,44.843223,0.314881,0.37015,0.314968,11121.54931,503.956583,274.480479,5075.809748,1535.434913,2236.144639,15960.13551,4824.496765,7025.055572,2940.523181,3952.13136,15865.40578,1577.8428,1283.3791,1551422.407,4730.1992,1512.4084,1231.9173,1429939.942,4531.1478,516.8716,448.3376,185178.7991,1543.3107,12,528882.9411,44073.5784,7,18496.9421,2642.4203,14,2.755,-0.323,14.122,784.221,809.03,726.878,17425.814,1333.224,0.228,0.06,26.626,54.48,0.027,0.033,0.469,30.035,1.841,0.035,29.909,29.14,12.772,0.047,0.026
